,Unit,Session,Type,Description,Weight,Due,Length,School
2,PHIL2675,2024-S1C-ND-CC,Assignment,Midterm essay,40%,9 Apr 2024,2000 words,Philosophy
0,PHIL3617,2024-S1C-ND-CC,Assignment,Take-home assignment,50%,3 Jun 2024,2500 words,Philosophy
1,PHIL3617,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Ongoing,n/a,Philosophy
2,PHIL3617,2024-S1C-ND-CC,Assignment,Independent research essay,40%,8 Apr 2024,2000 words,Philosophy
0,PHIL3639,2024-S1C-ND-CC,Assignment,Essay,50%,7 Jun 2024,2500 words,Philosophy
1,PHIL3639,2024-S1C-ND-CC,Participation,Participation,5%,Multiple weeks,Throughout semester,Philosophy
2,PHIL3639,2024-S1C-ND-CC,Small continuous assessment,written reflections,5%,Multiple weeks,500 ww. total,Philosophy
3,PHIL3639,2024-S1C-ND-CC,Assignment,Essay,40%,0 Apr 2024,1500 words,Philosophy
0,PHIL3655,2024-S1C-ND-CC,Assignment,Take-home exam,55%,3 Jun 2024,3000 words,Philosophy
1,PHIL3655,2024-S1C-ND-CC,Participation,Tutorial Participation,10%,Ongoing,Weekly tutorial participation,Philosophy
2,PHIL3655,2024-S1C-ND-CC,Assignment,Advanced research essay,35%,2 Apr 2024,1500 words,Philosophy
0,PHIL3662,2024-S1C-ND-CC,Assignment,Essay 1,33%,7 Apr 2024,1500 words,Philosophy
1,PHIL3662,2024-S1C-ND-CC,Assignment,Essay 2,45%,6 May 2024,2000 words,Philosophy
2,PHIL3662,2024-S1C-ND-CC,Online task,Weekly quizzes,22%,Weekly,1000wd,Philosophy
0,PHIL3681,2024-S1C-ND-CC,Assignment,Final essay,60%,6 Jun 2024,2500 words,Philosophy
1,PHIL3681,2024-S1C-ND-CC,Presentation,Tutorial presentation,15%,e: 03 Jun 2,500 words,Philosophy
2,PHIL3681,2024-S1C-ND-CC,Assignment,Take home assignment,20%,1 Mar 2024,1500 words,Philosophy
3,PHIL3681,2024-S1C-ND-CC,Assignment,Essay plan,0%,3 May 2024,250 words,Philosophy
4,PHIL3681,2024-S1C-ND-CC,Participation,Tutorial participation,5%,Weekly,Ongoing,Philosophy
0,PHIL3683,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Philosophy
1,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 1,0.5%,9 Feb 2024,15 minutes,Philosophy
2,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 2,0.5%,7 Mar 2024,15 minutes,Philosophy
3,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 3,0.5%,4 Mar 2024,15 minutes,Philosophy
4,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 4,0.5%,1 Mar 2024,15 minutes,Philosophy
5,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 5,0.25%,8 Mar 2024,15 minutes,Philosophy
6,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 6,0.25%,1 Apr 2024,15 minutes,Philosophy
7,PHIL3683,2024-S1C-ND-CC,Assignment,Short essay,5%,2 Apr 2024,400 words,Philosophy
8,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 7,0.25%,8 Apr 2024,15 minutes,Philosophy
9,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 8,0.25%,5 Apr 2024,15 minutes,Philosophy
10,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 9,0.5%,2 May 2024,15 minutes,Philosophy
11,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 10,0.5%,9 May 2024,15 minutes,Philosophy
12,PHIL3683,2024-S1C-ND-CC,Assignment,Essay,40%,0 May 2024,2000 words,Philosophy
13,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 11,0.5%,6 May 2024,15 minutes,Philosophy
14,PHIL3683,2024-S1C-ND-CC,Online task,Quiz 12,0.5%,3 May 2024,15 minutes,Philosophy
0,PHIL3684,2024-S1C-ND-CC,Assignment,Final Essay,50%,3 Jun 2024,2500 words,Philosophy
1,PHIL3684,2024-S1C-ND-CC,Presentation,Tutorial presentation,15%,e: 03 Jun 2,500 words,Philosophy
2,PHIL3684,2024-S1C-ND-CC,Assignment,Take Home Assignment,30%,8 Mar 2024,1500 words,Philosophy
3,PHIL3684,2024-S1C-ND-CC,Participation,Participation,5%,Weekly,n/a,Philosophy
0,PHIL3689,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Philosophy
1,PHIL3689,2024-S1C-ND-CC,Assignment,Short essay or podcast,10%,5 Mar 2024,500 words or 10-minute podcast,Philosophy
2,PHIL3689,2024-S1C-ND-CC,Assignment,Essay,40%,6 Apr 2024,"2,000 words",Philosophy
0,BIOS1170,2024-S1C-ND-CC,,End Semester Exam,50%,Formal exam period,2 hours,Department of Medical Sciences
1,BIOS1170,2024-S1C-ND-CC,Small continuous assessment,Online quizzes,13.2%,Multiple weeks,15 minutes,Department of Medical Sciences
2,BIOS1170,2024-S1C-ND-CC,Online task,Week 2 quiz,1.8%,1 Mar 2024,15 minutes,Department of Medical Sciences
3,BIOS1170,2024-S1C-ND-CC,,Mid Semester Exam,35%,1 Apr 2024,1 hour,Department of Medical Sciences
0,EXSS2032,2024-S1C-ND-CC,Assignment,Final Report 3 - Data and interpretation,20%,0 Jun 2024,1000-1500 Words not incl. graphs / table,Movement Sciences
1,EXSS2032,2024-S1C-ND-CC,Assignment,Practical Class Data Upload,0%,5 Mar 2024,1 Excel Sheet,Movement Sciences
2,EXSS2032,2024-S1C-ND-CC,Small continuous assessment,Quiz 1,15%,5 Mar 2024,1 hour,Movement Sciences
3,EXSS2032,2024-S1C-ND-CC,Assignment,Practical Class data Upload,0%,9 Mar 2024,1 Excel Sheet,Movement Sciences
4,EXSS2032,2024-S1C-ND-CC,Assignment,Final Report 1 - Data and Interpretation,10%,5 Mar 2024,500-750 words not incl. graphs / tables,Movement Sciences
5,EXSS2032,2024-S1C-ND-CC,Small continuous assessment,Quiz 2,15%,2 Apr 2024,1 hour,Movement Sciences
6,EXSS2032,2024-S1C-ND-CC,Assignment,Final Report 2 - Data and interpretation,10%,5 Apr 2024,500-750 words not incl. graphs / tables,Movement Sciences
7,EXSS2032,2024-S1C-ND-CC,Assignment,Practical class data Upload,0%,3 Apr 2024,1 Excel Sheet,Movement Sciences
8,EXSS2032,2024-S1C-ND-CC,Small continuous assessment,Quiz 3,15%,3 May 2024,1 Hour,Movement Sciences
9,EXSS2032,2024-S1C-ND-CC,Small continuous assessment,Quiz 4,15%,4 May 2024,1 Hour,Movement Sciences
0,EXSS3062,2024-S1C-ND-CC,,Motor Control & Skill Learning Final Exam,40%,Formal exam period,2 hours,Movement Sciences
1,EXSS3062,2024-S1C-ND-CC,Online task,Online Canvas Lecture Quizzes (MC1-5 + ML1-5),5%,Multiple weeks,6 multiple questions per lecture quiz,Movement Sciences
2,EXSS3062,2024-S1C-ND-CC,Assignment,Motor Skill Learning Group Assignment - Baseline Video Assessment,20%,9 Apr 2024,Video Summary (4 mins),Movement Sciences
3,EXSS3062,2024-S1C-ND-CC,Assignment,Motor Skill Learning Group Assignment - Program Report,35%,7 May 2024,"2,500 words +- 10%",Movement Sciences
0,EXSS3071,2024-S1C-ND-CC,Skills-based evaluation,Major Case Study Part B (Oral Defence),10%,Formal exam period,10 mins,Movement Sciences
1,EXSS3071,2024-S1C-ND-CC,Online task,Online Quizzes,20%,Multiple weeks,3-5 Questions,Movement Sciences
2,EXSS3071,2024-S1C-ND-CC,Presentation,Minor Case Study (Presentation),20%,Week 05,10 minutes,Movement Sciences
3,EXSS3071,2024-S1C-ND-CC,Skills-based evaluation,Practical Exam,20%,Week 10,20-30 minutes,Movement Sciences
4,EXSS3071,2024-S1C-ND-CC,Assignment,Major Case Study (Written Report OR Oral presentation) Part A,30%,4 May 2024,1500 words OR 15mins,Movement Sciences
0,EXSS3050,2024-S1C-ND-CC,Assignment,Clinical exercise program description,50%,4 Jun 2024,usually between 50-100 pages,Movement Sciences
1,EXSS3050,2024-S1C-ND-CC,Assignment,"In person assessment of competence and filling out of written data collection sheet. For the cognitive tutorial, submission of a video of the cognitive assessment being done on another person.",20%,Multiple weeks,2-3 p data sheet x 4; 15 min video x1,Movement Sciences
2,EXSS3050,2024-S1C-ND-CC,Skills-based evaluation,Endnote library Creation,10%,8 Mar 2024,Approximately 50-75 references,Movement Sciences
3,EXSS3050,2024-S1C-ND-CC,Presentation,Complex case and synopsis,20%,4 May 2024,15 minute powerpoint; 3 pages written,Movement Sciences
0,PHYS1001,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS1001,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,0%,Multiple weeks,3h/week,Physics Academic Operations
2,PHYS1001,2024-S1C-ND-CC,Online task,Week 3 quiz,0%,Week 03,See Canvas,Physics Academic Operations
3,PHYS1001,2024-S1C-ND-CC,Small test,Mid-semester test,20%,Week 06,1h,Physics Academic Operations
4,PHYS1001,2024-S1C-ND-CC,Skills-based evaluation,Lab test,20%,Week 10,130 min,Physics Academic Operations
5,PHYS1001,2024-S1C-ND-CC,Assignment,Laboratory report,10%,4 May 2024,See Canvas,Physics Academic Operations
6,PHYS1001,2024-S1C-ND-CC,Participation,Tutorials,2%,Weekly,1h/week,Physics Academic Operations
7,PHYS1001,2024-S1C-ND-CC,Online task,Quizzes,8%,Weekly,See Canvas,Physics Academic Operations
0,PHYS1002,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS1002,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,0%,Multiple weeks,3h/week,Physics Academic Operations
2,PHYS1002,2024-S1C-ND-CC,Online task,Week 3 quiz,0%,Week 03,See Canvas,Physics Academic Operations
3,PHYS1002,2024-S1C-ND-CC,Small test,Mid-semester test,20%,Week 06,1h,Physics Academic Operations
4,PHYS1002,2024-S1C-ND-CC,Skills-based evaluation,Lab test,20%,Week 10,130 min,Physics Academic Operations
5,PHYS1002,2024-S1C-ND-CC,Assignment,Laboratory report,10%,4 May 2024,See Canvas for more details,Physics Academic Operations
6,PHYS1002,2024-S1C-ND-CC,Participation,Tutorials,2%,Weekly,1h/week,Physics Academic Operations
7,PHYS1002,2024-S1C-ND-CC,Online task,Quizzes,8%,Weekly,See Canvas,Physics Academic Operations
0,PHYS1901,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS1901,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,0%,Multiple weeks,3h/week,Physics Academic Operations
2,PHYS1901,2024-S1C-ND-CC,Online task,Mastering Physics assignments,5%,Multiple weeks,6 questions,Physics Academic Operations
3,PHYS1901,2024-S1C-ND-CC,Online task,Pre-work quizzes,3%,Multiple weeks,See Canvas,Physics Academic Operations
4,PHYS1901,2024-S1C-ND-CC,Online task,Week 3 quiz,0%,Week 03,See Canvas,Physics Academic Operations
5,PHYS1901,2024-S1C-ND-CC,Small test,Mid-semester test,20%,Week 06,1h,Physics Academic Operations
6,PHYS1901,2024-S1C-ND-CC,Skills-based evaluation,Lab test,20%,Week 10,130 min,Physics Academic Operations
7,PHYS1901,2024-S1C-ND-CC,Assignment,Laboratory report,10%,4 May 2024,See Canvas,Physics Academic Operations
8,PHYS1901,2024-S1C-ND-CC,Participation,Tutorials,2%,Weekly,1h/week,Physics Academic Operations
0,PHYS1903,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS1903,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,0%,Multiple weeks,3h/week,Physics Academic Operations
2,PHYS1903,2024-S1C-ND-CC,Online task,Mastering Physics assignments,5%,Multiple weeks,6 questions,Physics Academic Operations
3,PHYS1903,2024-S1C-ND-CC,Online task,Pre-work quizzes,3%,Ongoing,See Canvas,Physics Academic Operations
4,PHYS1903,2024-S1C-ND-CC,Online task,Week 3 quiz,0%,Week 03,See Canvas,Physics Academic Operations
5,PHYS1903,2024-S1C-ND-CC,Small test,Mid-semester test,20%,Week 06,1h,Physics Academic Operations
6,PHYS1903,2024-S1C-ND-CC,Skills-based evaluation,Lab test,20%,Week 10,130 min,Physics Academic Operations
7,PHYS1903,2024-S1C-ND-CC,Assignment,Laboratory report,10%,4 May 2024,See Canvas,Physics Academic Operations
8,PHYS1903,2024-S1C-ND-CC,Participation,Tutorials,2%,Weekly,1h/week,Physics Academic Operations
0,PHYS2011,2024-S1C-ND-CC,,Final examination: Optics/Thermodynamics,45%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS2011,2024-S1C-ND-CC,Small test,Optics quiz,5%,1 Mar 2024,20 min,Physics Academic Operations
2,PHYS2011,2024-S1C-ND-CC,Assignment,Experiment 1 Summary,5%,1 Mar 2024,1-2 pages,Physics Academic Operations
3,PHYS2011,2024-S1C-ND-CC,Assignment,Experiment 2 Summary,5%,8 Apr 2024,1-2 pages,Physics Academic Operations
4,PHYS2011,2024-S1C-ND-CC,Small test,Thermodynamics quiz,5%,6 May 2024,20 min,Physics Academic Operations
5,PHYS2011,2024-S1C-ND-CC,Assignment,Draft Experimental Lab Report,3%,4 May 2024,4 pages (+ references and reflection),Physics Academic Operations
6,PHYS2011,2024-S1C-ND-CC,Assignment,Experimental Lab Report,12%,6 May 2024,4 pages (+references and reflection),Physics Academic Operations
7,PHYS2011,2024-S1C-ND-CC,Participation,Tutorial Attendance,5%,Weekly,1hr,Physics Academic Operations
8,PHYS2011,2024-S1C-ND-CC,Small continuous assessment,Experimental Physics Lab,15%,Weekly,3 hr,Physics Academic Operations
0,PHYS2911,2024-S1C-ND-CC,,Final examination: Optics/Thermodynamics,45%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS2911,2024-S1C-ND-CC,Small test,Optics Quiz,5%,1 Mar 2024,20 min,Physics Academic Operations
2,PHYS2911,2024-S1C-ND-CC,Assignment,Experiment 1 Summary,5%,1 Mar 2024,1-2 pages,Physics Academic Operations
3,PHYS2911,2024-S1C-ND-CC,Assignment,Experiment 2 Summary,5%,8 Apr 2024,1-2 pages,Physics Academic Operations
4,PHYS2911,2024-S1C-ND-CC,Small test,Thermodynamics Quiz,5%,6 May 2024,20 min,Physics Academic Operations
5,PHYS2911,2024-S1C-ND-CC,Assignment,Draft Experimental Lab Report,3%,4 May 2024,4 pages (+ references and reflection),Physics Academic Operations
6,PHYS2911,2024-S1C-ND-CC,Assignment,Experimental Lab Report,12%,6 May 2024,4 pages (+references and reflection),Physics Academic Operations
7,PHYS2911,2024-S1C-ND-CC,Participation,Tutorial Attendance,5%,Weekly,1 hr,Physics Academic Operations
8,PHYS2911,2024-S1C-ND-CC,Small continuous assessment,Experimental Physics Lab,15%,Weekly,3 hr,Physics Academic Operations
0,PHYS2921,2024-S1C-ND-CC,,Final examination,45%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS2921,2024-S1C-ND-CC,Small continuous assessment,SSP Project Group Assessment,15%,Ongoing,Semester long research project,Physics Academic Operations
2,PHYS2921,2024-S1C-ND-CC,Small test,Optics Quiz,5%,1 Mar 2024,20 min,Physics Academic Operations
3,PHYS2921,2024-S1C-ND-CC,Assignment,Experiment 1 Summary,5%,1 Mar 2024,1-2 pages,Physics Academic Operations
4,PHYS2921,2024-S1C-ND-CC,Small test,Thermodynamics Quiz,5%,6 May 2024,20 min,Physics Academic Operations
5,PHYS2921,2024-S1C-ND-CC,Assignment,SSP Project Report,15%,6 May 2024,Semester long SSP project.,Physics Academic Operations
6,PHYS2921,2024-S1C-ND-CC,Participation,Tutorial Attendance,5%,Weekly,1 hr,Physics Academic Operations
7,PHYS2921,2024-S1C-ND-CC,Small continuous assessment,Experimental Physics Lab,5%,Weekly,3 hr,Physics Academic Operations
0,PHYS3034,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS3034,2024-S1C-ND-CC,Online task,Quantum physics quiz,8%,Multiple weeks,15 minutes each,Physics Academic Operations
2,PHYS3034,2024-S1C-ND-CC,Skills-based evaluation,Computational Physics Computer Labs,10%,Multiple weeks,2 hours,Physics Academic Operations
3,PHYS3034,2024-S1C-ND-CC,Online task,Statistical mechanics quiz,2%,Week 04,15 minutes,Physics Academic Operations
4,PHYS3034,2024-S1C-ND-CC,Assignment,Statistical physics assignment,10%,2 Mar 2024,~ 5 pages,Physics Academic Operations
5,PHYS3034,2024-S1C-ND-CC,Assignment,Computational physics assignment,10%,1 May 2024,~ 5 pages,Physics Academic Operations
6,PHYS3034,2024-S1C-ND-CC,Assignment,Quantum physics assignment,10%,4 May 2024,~ 5 pages,Physics Academic Operations
0,PHYS3934,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS3934,2024-S1C-ND-CC,Online task,Quantum physics quiz,8%,Multiple weeks,15 minutes each,Physics Academic Operations
2,PHYS3934,2024-S1C-ND-CC,Skills-based evaluation,Computational Physics Computer Labs,10%,Multiple weeks,2 hours,Physics Academic Operations
3,PHYS3934,2024-S1C-ND-CC,Online task,Statistical mechanics quiz,2%,Week 04,15 minutes,Physics Academic Operations
4,PHYS3934,2024-S1C-ND-CC,Assignment,Statistical mechanics assignment,10%,2 Mar 2024,~ 5 pages,Physics Academic Operations
5,PHYS3934,2024-S1C-ND-CC,Assignment,Computational physics assignment,10%,1 May 2024,~ 5 pages,Physics Academic Operations
6,PHYS3934,2024-S1C-ND-CC,Assignment,Quantum physics assignment,10%,4 May 2024,~ 5 pages,Physics Academic Operations
0,PHYS3036,2024-S1C-ND-CC,,Final exam,55%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS3036,2024-S1C-ND-CC,Assignment,Peer review of experimental physics report,1%,7 Jun 2024,lab report rubric and several pages,Physics Academic Operations
2,PHYS3036,2024-S1C-ND-CC,Assignment,Particle physics assignment,5%,2 Mar 2024,~ 5 pages,Physics Academic Operations
3,PHYS3036,2024-S1C-ND-CC,Assignment,Condensed matter physics assignment,5%,7 May 2024,~ 5 pages,Physics Academic Operations
4,PHYS3036,2024-S1C-ND-CC,Assignment,Experimental physics report,9%,4 May 2024,"3000 words, 4 pages",Physics Academic Operations
5,PHYS3036,2024-S1C-ND-CC,Small continuous assessment,Quizzes,10%,Weekly,1-2 pages,Physics Academic Operations
6,PHYS3036,2024-S1C-ND-CC,Skills-based evaluation,Experimental physics logbook,15%,Weekly,Variable,Physics Academic Operations
0,PHYS3936,2024-S1C-ND-CC,,Final Exam,55%,Formal exam period,2 hours,Physics Academic Operations
1,PHYS3936,2024-S1C-ND-CC,Assignment,Peer Review of experimental physics report,1%,7 Jun 2024,lab report rubric and several pages,Physics Academic Operations
2,PHYS3936,2024-S1C-ND-CC,Assignment,Particle physics assignment,5%,2 Mar 2024,~ 5 pages,Physics Academic Operations
3,PHYS3936,2024-S1C-ND-CC,Assignment,Condensed matter physics assignment,5%,7 May 2024,~ 5 pages,Physics Academic Operations
4,PHYS3936,2024-S1C-ND-CC,Assignment,Experimental physics report,9%,4 May 2024,"3000 words, 4 pages",Physics Academic Operations
5,PHYS3936,2024-S1C-ND-CC,Small continuous assessment,Quizzes,10%,Weekly,1-2 pages,Physics Academic Operations
6,PHYS3936,2024-S1C-ND-CC,Skills-based evaluation,Experimental physics log book,15%,Weekly,Variable,Physics Academic Operations
0,PHYS3888,2024-S1C-ND-CC,Small continuous assessment,Team work evaluation,25%,Multiple weeks,See Canvas for details.,Physics Academic Operations
1,PHYS3888,2024-S1C-ND-CC,Small continuous assessment,Computational assignment,10%,Multiple weeks,See Canvas for details,Physics Academic Operations
2,PHYS3888,2024-S1C-ND-CC,Small test,Disciplinary component test,20%,Week 08,90 minutes,Physics Academic Operations
3,PHYS3888,2024-S1C-ND-CC,Presentation,Oral presentation,15%,Week 13,"8 minutes.
See Canvas for details.",Physics Academic Operations
4,PHYS3888,2024-S1C-ND-CC,Assignment,Project report,30%,Week 13,3000 words; 5 figures.,Physics Academic Operations
0,PHSI2007,2024-S1C-ND-CC,,Final Exam,36%,Formal exam period,1.5 hours,Department of Medical Sciences
1,PHSI2007,2024-S1C-ND-CC,Small continuous assessment,Practical submission,20%,Multiple weeks,Variable,Department of Medical Sciences
2,PHSI2007,2024-S1C-ND-CC,Small continuous assessment,Prac Participation,10%,Multiple weeks,variable,Department of Medical Sciences
3,PHSI2007,2024-S1C-ND-CC,Small test,Endocrine quiz,6%,Week -04,30 minutes,Department of Medical Sciences
4,PHSI2007,2024-S1C-ND-CC,Small test,nerve and GIT quiz,6%,Week 06,30 minutes,Department of Medical Sciences
5,PHSI2007,2024-S1C-ND-CC,Small test,"Muscle, Blood and CV quiz",6%,Week 09,30 minutes,Department of Medical Sciences
6,PHSI2007,2024-S1C-ND-CC,Presentation,Poster submission,10%,0 May 2024,1000 words,Department of Medical Sciences
7,PHSI2007,2024-S1C-ND-CC,Small test,Renal and Reprodiuction Quiz,6%,Week 13,30 minutes,Department of Medical Sciences
0,PHSI2907,2024-S1C-ND-CC,,Final exam,36%,Formal exam period,1.5 hours,Department of Medical Sciences
1,PHSI2907,2024-S1C-ND-CC,Small continuous assessment,Prac participation,10%,Multiple weeks,variable,Department of Medical Sciences
2,PHSI2907,2024-S1C-ND-CC,Small continuous assessment,Advanced project report,30%,Multiple weeks,"2 x 2,000 words",Department of Medical Sciences
3,PHSI2907,2024-S1C-ND-CC,Small test,Endocrine Quiz,6%,Week 04,30 minutes,Department of Medical Sciences
